frame,face_id,x1,y1,x2,y2
1,0,359,146,410,207
2,0,358,147,408,207
3,0,358,147,408,207
4,0,357,148,408,208
5,0,357,148,408,208
6,0,357,148,408,209
7,0,357,149,408,210
8,0,357,149,409,211
9,0,358,148,410,211
10,0,359,149,410,211
11,0,360,149,411,211
12,0,361,150,412,211
13,0,361,149,413,211
14,0,361,148,415,212
15,0,363,147,416,212
16,0,364,148,417,213
17,0,366,148,419,213
18,0,367,148,419,212
19,0,369,149,420,213
20,0,370,149,422,213
21,0,370,147,423,213
22,0,372,150,425,213
23,0,374,151,426,213
24,0,374,151,428,215
25,0,375,151,430,216
26,0,376,152,431,216
27,0,379,153,433,216
28,0,379,153,434,218
29,0,379,154,436,219
30,0,380,156,435,219
31,0,381,156,438,222
32,0,383,157,440,224
33,0,383,157,440,225
34,0,383,159,441,226
35,0,383,159,441,226
36,0,383,159,441,226
37,0,383,158,441,226
38,0,382,157,441,225
39,0,382,156,440,223
40,0,381,154,440,223
41,0,380,153,440,223
42,0,379,153,438,223
43,0,378,153,437,222
44,0,377,153,434,220
45,0,376,153,434,219
46,0,374,152,433,219
47,0,374,152,431,219
48,0,373,151,430,218
49,0,373,154,427,217
50,0,372,154,426,217
51,0,370,152,425,216
52,0,370,152,424,214
53,0,369,152,422,213
54,0,368,153,420,213
55,0,366,151,420,214
56,0,366,151,420,213
57,0,365,150,419,213
58,0,365,150,418,214
59,0,365,148,418,212
60,0,364,148,418,211
61,0,364,147,417,211
62,0,365,146,418,209
63,0,365,144,418,209
64,0,366,143,420,207
65,0,366,143,420,207
66,0,367,143,421,206
67,0,369,144,421,204
68,0,370,144,422,204
69,0,371,143,424,205
70,0,372,142,425,205
71,0,374,141,428,205
72,0,375,141,430,204
73,0,377,141,431,203
74,0,381,141,434,199
75,0,383,141,435,200
76,0,386,142,436,198
77,0,387,139,439,202
78,0,388,138,441,201
79,0,390,136,446,202
80,0,392,135,449,201
81,0,395,135,450,199
82,0,402,137,455,201
83,0,403,135,457,199
84,0,408,134,463,199
85,0,412,135,467,199
86,0,416,138,469,200
87,0,421,137,476,201
88,0,425,139,479,201
89,0,434,139,489,204
90,0,438,139,492,204
91,0,444,141,498,206
92,0,452,142,507,208
93,0,459,143,513,210
94,0,469,146,525,213
95,0,477,148,531,216
96,0,482,150,535,214
97,0,492,148,548,218
98,0,498,147,553,218
99,0,509,147,562,213
100,0,512,143,569,211
101,0,517,143,572,209
102,0,525,141,580,203
103,0,530,135,587,200
104,0,536,130,595,198
105,0,542,131,600,194
106,0,547,132,603,194
107,0,560,130,613,196
109,0,563,129,619,192
110,0,564,130,621,195
111,0,567,131,624,197
112,0,576,139,629,201
113,0,578,140,632,204
114,0,578,145,636,212
115,0,580,148,636,214
