frame,face_id,x1,y1,x2,y2
1,0,350,299,420,387
1,1,591,211,671,326
2,0,350,297,420,384
2,1,592,212,671,324
3,0,348,295,418,381
3,1,593,212,671,322
4,0,345,291,416,379
4,1,593,210,671,320
4,2,815,123,902,220
5,0,345,288,414,376
5,1,594,209,672,318
6,0,345,288,412,374
6,1,593,207,672,316
7,0,342,283,411,371
7,1,593,206,673,314
7,2,806,134,891,234
8,0,340,279,409,369
8,1,594,208,670,310
9,0,339,277,408,366
9,1,592,203,672,310
10,0,338,274,409,366
10,1,593,201,672,309
11,0,339,273,407,365
11,1,592,201,671,307
12,0,342,273,406,360
12,1,590,200,670,308
12,2,793,132,883,244
13,0,339,276,404,355
13,1,589,201,669,308
13,2,792,136,884,249
14,0,334,275,396,356
14,1,590,207,665,309
14,2,791,145,880,244
15,0,332,273,399,360
15,1,590,209,665,311
15,2,788,143,874,251
16,0,331,273,399,362
16,1,591,210,664,311
16,2,786,145,875,249
17,0,330,271,398,359
17,1,591,211,663,311
17,2,780,148,866,256
18,0,330,274,395,355
18,1,590,211,663,310
18,2,783,152,875,269
19,0,331,271,396,355
19,1,590,211,662,310
19,2,784,148,875,267
20,0,331,270,398,353
20,1,783,149,872,261
20,2,590,211,662,310
21,0,329,268,396,353
21,1,589,210,661,310
21,2,782,152,872,269
22,0,327,263,395,350
22,1,589,210,661,310
22,2,782,155,868,264
23,0,325,262,393,346
23,1,588,210,660,308
23,2,780,154,866,266
23,3,3,96,103,215
24,0,324,260,393,348
24,1,588,208,658,307
24,2,777,154,864,264
24,3,0,92,108,217
25,0,323,258,392,350
25,1,3,87,114,217
25,2,587,205,659,307
25,3,775,155,859,262
26,0,321,259,390,352
26,1,8,91,117,214
26,2,585,204,656,305
26,3,774,153,859,268
27,0,321,258,390,352
27,1,584,200,653,303
27,2,17,95,117,212
27,3,770,151,856,268
28,0,320,258,390,354
28,1,581,196,651,298
28,2,23,93,121,209
28,3,766,149,855,271
29,0,18,90,127,213
29,1,319,260,388,356
29,2,577,192,648,295
29,3,766,150,856,272
30,0,19,90,127,216
30,1,318,261,388,357
30,2,765,150,851,266
30,3,571,189,645,291
31,0,27,96,134,214
31,1,317,263,387,356
31,2,765,152,851,267
31,3,570,182,642,287
32,0,318,265,385,355
32,1,34,97,133,210
32,2,565,175,638,279
32,3,766,154,850,269
33,0,318,265,386,355
33,1,38,97,134,210
33,2,560,162,635,272
33,3,768,156,849,269
34,0,317,262,385,352
34,1,35,98,139,215
34,2,559,155,636,270
35,0,316,261,385,349
35,1,41,99,148,219
35,2,555,149,624,257
36,0,316,260,383,347
36,1,553,144,621,251
37,0,316,257,382,345
37,1,551,142,615,242
37,2,51,105,154,223
37,3,766,156,846,252
38,0,316,255,382,344
38,1,54,106,162,230
38,2,549,137,614,238
38,3,771,156,849,250
39,0,316,253,383,341
39,1,64,118,164,233
39,2,551,134,619,239
39,3,770,153,851,242
40,0,315,250,383,336
40,1,73,126,159,236
